x, y, th, ts, 
4.466389179229736, 0.9300222992897034, 0.008367876367755826, 1732834281677009008, 
4.475635528564453, 0.9302419424057007, 0.006944036816585183, 1732834281774263279, 
4.486621379852295, 0.9302501082420349, 0.004962527386120568, 1732834281884788546, 
4.49568510055542, 0.9302010536193848, 0.004106360634646044, 1732834281977751658, 
4.505556583404541, 0.9300966858863831, 0.004011234915813974, 1732834282077703827, 
4.514157295227051, 0.930141031742096, 0.002164891868380384, 1732834282174113311, 
4.522634029388428, 0.9300682544708252, 0.0008199458402951165, 1732834282284778738, 
4.5293073654174805, 0.9303426742553711, -0.0001265989497363116, 1732834282377754153, 
4.5319318771362305, 0.9301902651786804, 0.0018528144235446708, 1732834282477770132, 
4.531796932220459, 0.9300785064697266, 0.0047775691764824135, 1732834282587106278, 
4.5320210456848145, 0.9301086068153381, 0.004045368940703206, 1732834282684839805, 
4.531975746154785, 0.9301350712776184, 0.0038720335400127892, 1732834282777759731, 
4.531970500946045, 0.9301410913467407, 0.0038112337080558677, 1732834282876711114, 
4.53197717666626, 0.9301332235336304, 0.0038896774840104383, 1732834282974383294, 
4.531973361968994, 0.9301373958587646, 0.0038477136305700996, 1732834283084785625, 
4.531967639923096, 0.9301439523696899, 0.0037819079177215395, 1732834283177762056, 
4.531970977783203, 0.9301402568817139, 0.0038191032421618894, 1732834283277758271, 
4.531976699829102, 0.9301340579986572, 0.0038810968661965864, 1732834283387041042, 
4.531979084014893, 0.9301314353942871, 0.003907083330151059, 1732834283484789908, 
4.531980037689209, 0.930130660533905, 0.003915189365606968, 1732834283577766830, 
4.531979084014893, 0.9301320910453796, 0.0039006431094789967, 1732834283677735424, 
4.531976222991943, 0.9301354885101318, 0.003866787821122946, 1732834283774390034, 
4.531975746154785, 0.93013596534729, 0.0038622584024487453, 1732834283883935014, 
4.531974792480469, 0.9301368594169617, 0.0038531967920979234, 1732834283978770776, 
4.531976222991943, 0.9301355481147766, 0.0038663107009672794, 1732834284077791029, 
4.531976222991943, 0.9301360249519348, 0.0038615409042186497, 1732834284187553486, 
4.531976222991943, 0.9301364421844482, 0.003857727050660137, 1732834284284888020, 
4.531976222991943, 0.9301367402076721, 0.0038548652003254223, 1732834284377779688, 
